Participant,Word,Affix,LogRT,RT
Part_12,dyrkede,ede,6.625644326,754.1900002610379
Part_21,dyrkede,ede,6.7800469,880.1100002988828
Part_4,dyrkede,ede,6.794373792,892.8099997489733
Part_22,dyrkede,ede,6.700226677,812.5899997560575
Part_7,dyrkede,ede,7.057105885,1161.0799994898312
Part_10,dyrkede,ede,6.67179241,789.8099998375615
Part_20,dyrkede,ede,7.026355758,1125.9199997542808
Part_15,dyrkede,ede,6.542270211,693.8599999652215
Part_14,dyrkede,ede,6.712980502,823.0200002317864
Part_19,dyrkede,ede,7.153786889,1278.9400002190434
Part_2,dyrkede,ede,6.623932417,752.9000001083598
Part_8,dyrkede,ede,6.844591812,938.789999977376
Part_6,dyrkede,ede,6.826556069,922.0099995530448
Part_5,dyrkede,ede,6.353117082,574.2799998509781
Part_9,dyrkede,ede,6.55639476,703.7300000935122
Part_18,dyrkede,ede,6.643203624,767.5500000620099
Part_11,dyrkede,ede,6.60992859,742.4299998973157
Part_16,dyrkede,ede,6.370568568,584.3899999049081
Part_13,dyrkede,ede,6.54375356,694.8900002383863
Part_1,dystede,ede,6.950278226,1043.439999935278
Part_20,dystede,ede,7.199626067,1338.9300006622725
Part_21,dystede,ede,6.91499898,1007.2700000825848
Part_22,dystede,ede,7.141348047,1263.1300005223443
Part_3,dystede,ede,7.176988208,1308.9600003070975
Part_16,dystede,ede,6.398078994,600.6899997160729
Part_10,dystede,ede,6.462530112,640.6799998077348
Part_2,dystede,ede,6.625445417,754.0400000009715
Part_17,dystede,ede,6.870572488,963.500000140265
Part_8,dystede,ede,7.036465066,1137.3599996275798
Part_15,dystede,ede,6.961068532,1054.7600001274636
Part_14,dystede,ede,6.862590535,955.83999997348
Part_11,dystede,ede,6.69435164,807.8299997211857
Part_19,dystede,ede,7.048673075,1151.3300001838154
Part_6,dystede,ede,6.489068144,657.9100000955048
Part_13,dystede,ede,6.625829938,754.3299999677773
Part_18,dystede,ede,6.895632089,987.9499998223408
Part_12,dystede,ede,6.4521909,634.0899998741888
Part_1,flytbar,bar,6.791412456,890.1700002476298
Part_9,flytbar,bar,6.751347053,855.2100001593607
Part_19,flytbar,bar,6.789005526,888.0299998176926
Part_22,flytbar,bar,7.016726269,1115.129999970829
Part_13,flytbar,bar,6.663796588,783.5200000360364
Part_5,flytbar,bar,6.807238569,904.370000279959
Part_15,flytbar,bar,6.706446602,817.659999774779
Part_12,flytbar,bar,7.2572072,1418.2900005939623
Part_21,flytbar,bar,6.94631231,1039.3099995749697
Part_7,flytbar,bar,6.664740598,784.2599999799892
Part_2,flytbar,bar,6.918151055,1010.449999834026
Part_20,flytbar,bar,6.628715752,756.5100000668014
Part_17,flytbar,bar,6.908924595,1001.1699999343836
Part_6,flytbar,bar,6.651261748,773.7600000105435
Part_11,flytbar,bar,6.672083577,790.0399999283777
Part_16,flytbar,bar,6.655491829,777.0399999268997
Part_10,flytbar,bar,6.664715096,784.2400000364902
Part_14,flytbar,bar,6.639980404,765.0800003654533
Part_3,flytbar,bar,6.646546347,770.1200001069429
Part_18,flytbar,bar,6.631843662,758.8799999018981
Part_8,flytbar,bar,7.061102779,1165.7299997620314
Part_4,flytbar,bar,7.113720118,1228.7100005853968
Part_19,flF8jtende,ende,6.795358959,893.6900001004748
Part_16,flF8jtende,ende,6.686522401,801.5299998651681
Part_17,flF8jtende,ende,7.018867223,1117.519999531429
Part_11,flF8jtende,ende,6.900227013,992.5000004353648
Part_10,flF8jtende,ende,6.775137754,875.7999996783205
Part_18,flF8jtende,ende,6.961078013,1054.770000354431
Part_15,flF8jtende,ende,6.789388323,888.3700001089262
Part_13,flF8jtende,ende,6.828939319,924.2100004192002
Part_9,flF8jtende,ende,6.827835064,923.1900001790176
Part_20,flF8jtende,ende,6.78971471,888.6599998516506
Part_5,flF8jtende,ende,6.763538428,865.6999998080503
Part_1,flF8jtende,ende,6.971996881,1066.3499999535052
Part_4,flF8jtende,ende,6.870780043,963.700000137576
Part_6,flF8jtende,ende,6.807680768,904.7700002229824
Part_2,flF8jtende,ende,6.786908806,886.1700001871029
Part_14,flF8jtende,ende,6.803538553,901.02999964731
Part_12,flF8jtende,ende,6.968125751,1062.230000150674
Part_22,flF8jtende,ende,6.925614843,1018.0199997119988
Part_3,flF8jtende,ende,6.92987874,1022.3699995197323
Part_7,flF8jtende,ende,6.54740215,697.4299998351706
Part_8,flF8jtende,ende,6.899662622,991.9400004119708
Part_21,flF8jtende,ende,6.953196986,1046.4899998130245
Part_22,frugtbar,bar,6.843622009,937.8799999507282
Part_1,frugtbar,bar,6.667796135,786.6600002050305
Part_9,frugtbar,bar,6.775776965,876.3599996319127
Part_12,frugtbar,bar,6.947994704,1041.0600001648672
Part_13,frugtbar,bar,6.632726153,759.5500002630538
Part_5,frugtbar,bar,6.501800051,666.3400001434351
Part_11,frugtbar,bar,6.839904612,934.3999999308892
Part_21,frugtbar,bar,6.742326237,847.5300001201874
Part_7,frugtbar,bar,6.685261517,800.5200003927155
Part_4,frugtbar,bar,7.168456623,1297.839999867434
Part_18,frugtbar,bar,6.706788984,817.9399997715664
Part_17,frugtbar,bar,6.673095672,790.8400002319692
Part_6,frugtbar,bar,6.753636265,857.1699997255623
Part_3,frugtbar,bar,6.648388518,771.5400003777439
Part_8,frugtbar,bar,7.23789321,1391.1599993457232
Part_10,frugtbar,bar,6.631039523,758.2700001928063
Part_19,frugtbar,bar,6.740885723,846.3100002140328
Part_20,frugtbar,bar,6.5479898499999996,697.8399999127954
Part_14,frugtbar,bar,6.88216051,974.730000418502
Part_15,frugtbar,bar,6.597309399,733.1199998056276
Part_16,frugtbar,bar,6.788160603,887.2799997369335
Part_2,frugtbar,bar,6.670195816,788.5500000523857
Part_13,gangbar,bar,6.446481434,630.4799999713798
Part_9,gangbar,bar,6.528133341,684.1200001152806
Part_22,gangbar,bar,6.839926016,934.420000042528
Part_21,gangbar,bar,6.751674404,855.4899998347095
Part_11,gangbar,bar,6.847601796,941.6199998471816
Part_12,gangbar,bar,6.646663205,770.2100000484198
Part_17,gangbar,bar,6.367620988,582.6699997932651
Part_5,gangbar,bar,6.481332076,652.839999815576
Part_7,gangbar,bar,6.811827909,908.530000222607
Part_8,gangbar,bar,6.820605711,916.5400003424757
Part_4,gangbar,bar,6.823090238,918.8199999073
Part_10,gangbar,bar,6.425533309,617.4100000667656
Part_19,gangbar,bar,6.439270496,625.9500001842349
Part_6,gangbar,bar,6.307624741,548.7400000061941
Part_18,gangbar,bar,6.754918735,858.269999742855
Part_3,gangbar,bar,6.416585213,611.9100000767412
Part_15,gangbar,bar,6.493420955,660.7799997324454
Part_16,gangbar,bar,6.513126248,673.9300000323682
Part_14,gangbar,bar,6.801505479,899.1999998746278
Part_2,gangbar,bar,6.669472709,787.980000137799
Part_1,gangbar,bar,6.593345859,730.2200002901347
Part_20,gangbar,bar,6.438343475,625.370000266702
Part_21,gemytlig,lig,6.775114918,875.7800001378832
Part_14,gemytlig,lig,6.675621436,792.8400001349457
Part_16,gemytlig,lig,6.49234589,660.0699999983477
Part_13,gemytlig,lig,6.509126748,671.2399999107512
Part_10,gemytlig,lig,6.676024967,793.1600002136737
Part_6,gemytlig,lig,6.626201059,754.6099996253579
Part_15,gemytlig,lig,6.63522451,761.4499997733161
Part_9,gemytlig,lig,6.896967297,989.2699996067332
Part_18,gemytlig,lig,6.756944017,860.0099999252426
Part_4,gemytlig,lig,6.911348814,1003.5999995059608
Part_22,gemytlig,lig,6.766652438,868.3999999964079
Part_1,gemytlig,lig,6.57323314,715.68000022577
Part_7,gemytlig,lig,6.723459775,831.6899998035813
Part_20,gemytlig,lig,6.543033762,694.3899997772488
Part_3,gemytlig,lig,6.584224934,723.5900002635989
Part_17,gemytlig,lig,6.580985818,721.2500001281596
Part_5,gemytlig,lig,6.388964686,595.2400002608044
Part_19,gemytlig,lig,6.562557082,708.0800002403068
Part_12,gemytlig,lig,6.515956362,675.8400002447977
Part_8,gemytlig,lig,6.729202611,836.480000003511
Part_2,gemytlig,lig,6.665925727,785.1900002257853
Part_11,gemytlig,lig,6.655942155,777.3900000430683
Part_17,husere,ere,6.556011016,703.4599997371784
Part_20,husere,ere,6.676604757,793.6199997888882
Part_6,husere,ere,6.664715096,784.2400000364902
Part_4,husere,ere,7.11651589,1232.1500000876135
Part_18,husere,ere,6.673993049,791.5500003801129
Part_21,husere,ere,6.909623533,1001.870000291726
Part_1,husere,ere,7.731461314,2278.930001030108
Part_14,husere,ere,6.735542456,841.7999997167594
Part_8,husere,ere,6.826686211,922.12999958676
Part_15,husere,ere,6.505574771,668.8600002239417
Part_12,husere,ere,6.7402474550000004,845.7699999735859
Part_7,husere,ere,6.711497056,821.7999996307574
Part_19,husere,ere,7.447407398,1715.4099998568338
Part_11,husere,ere,6.684211648,799.6800002826167
Part_10,husere,ere,6.840803181,935.2400001469846
Part_9,husere,ere,6.837279165,931.9499998342876
Part_22,husere,ere,7.346771211,1551.1800006183264
Part_2,husere,ere,6.713089849,823.1099999202604
Part_16,husere,ere,6.517508778,676.8899998818615
Part_21,huskbar,bar,7.264436223,1428.5800001387584
Part_5,huskbar,bar,6.717961877,827.1299997109451
Part_17,huskbar,bar,6.933539978,1026.1200000452884
Part_19,huskbar,bar,6.792557648,891.1899997467121
Part_4,huskbar,bar,7.022654159,1121.7599994854963
Part_13,huskbar,bar,6.623294679,752.4200002414366
Part_11,huskbar,bar,6.693212138,806.9100000911016
Part_18,huskbar,bar,6.846549864,940.6300004348244
Part_9,huskbar,bar,7.015990658,1114.3099997140012
Part_16,huskbar,bar,6.648531079,771.6499997323602
Part_8,huskbar,bar,7.024070571,1123.3499995916784
Part_14,huskbar,bar,7.096961416,1208.2900001103887
Part_15,huskbar,bar,6.872615029,965.4699996114985
Part_10,huskbar,bar,6.784875527,884.3699999068111
Part_7,huskbar,bar,6.822981397,918.720000061831
Part_1,huskbar,bar,6.889479286,981.8900002092475
Part_6,huskbar,bar,6.975488691,1070.0799999826352
Part_20,huskbar,bar,6.713527119,823.469999932792
Part_4,hE6derlig,lig,6.79125517,890.0299999793011
Part_10,hE6derlig,lig,6.764035013,866.1300001994905
Part_18,hE6derlig,lig,6.534457219,688.4599998843415
Part_16,hE6derlig,lig,6.61269942,744.4899998507965
Part_14,hE6derlig,lig,6.705112641,816.5700003937856
Part_15,hE6derlig,lig,6.990845646,1086.6400005278515
Part_19,hE6derlig,lig,6.730242143,837.349999848869
Part_17,hE6derlig,lig,6.497950769,663.7799998175439
Part_1,hE6derlig,lig,6.789939743,888.8600001798898
Part_20,hE6derlig,lig,6.784852912,884.350000105412
Part_3,hE6derlig,lig,6.697527953,810.4000000531024
Part_11,hE6derlig,lig,6.723531915,831.7500000843507
Part_8,hE6derlig,lig,6.906003746,998.2500000565698
Part_2,hE6derlig,lig,6.744377157,849.2700000384401
Part_12,hE6derlig,lig,6.777783259,878.120000390129
Part_13,hE6derlig,lig,6.690295544,804.5599998903986
Part_5,hE6derlig,lig,6.652140188,774.4400003709841
Part_22,hE6derlig,lig,6.709523828,820.1799997013363
Part_9,hE6derlig,lig,6.749614985,853.7300003849367
Part_21,hE6derlig,lig,6.814564851,911.0200000767156
Part_6,hE6derlig,lig,6.726605036,834.3100000564618
Part_17,jE6vnlig,lig,6.906324256,998.5700004430112
Part_1,jE6vnlig,lig,6.66190589,782.0399998965444
Part_2,jE6vnlig,lig,6.800270286,898.0900000023458
Part_13,jE6vnlig,lig,6.7133328,823.3099996119296
Part_14,jE6vnlig,lig,7.092947711,1203.4500001591264
Part_10,jE6vnlig,lig,6.77219898,873.2299995844207
Part_3,jE6vnlig,lig,6.680402883,796.6400000845455
Part_21,jE6vnlig,lig,6.772645499,873.6200004355208
Part_4,jE6vnlig,lig,6.719242597,828.1900002812522
Part_8,jE6vnlig,lig,6.771419959,872.5499999782909
Part_12,jE6vnlig,lig,6.959037573,1052.6199996745431
Part_7,jE6vnlig,lig,6.702881318,814.7500002300278
Part_20,jE6vnlig,lig,6.726581064,834.2900002168602
Part_5,jE6vnlig,lig,6.483275533,654.1099999787156
Part_22,jE6vnlig,lig,7.258398066,1419.9800000155108
Part_6,jE6vnlig,lig,6.839936718,934.4300002588795
Part_19,jE6vnlig,lig,6.578375829,719.3700000185976
Part_11,jE6vnlig,lig,6.809039306,905.9999999610606
Part_18,jE6vnlig,lig,6.669777239,788.2200002290003
Part_15,jE6vnlig,lig,6.657985372,778.9800003114227
Part_9,jE6vnlig,lig,6.70638545,817.609999759289
Part_16,jE6vnlig,lig,6.481224847,652.7700001882978
Part_14,klikbar,bar,7.405829954,1645.5500002917645
Part_16,klikbar,bar,6.571848882,714.6899998260883
Part_3,klikbar,bar,7.175497365,1307.0100003864002
Part_13,klikbar,bar,6.922525658,1014.8800001161152
Part_15,klikbar,bar,6.67086771,789.0800000981075
Part_2,klikbar,bar,6.867953597,960.97999990467
Part_11,klikbar,bar,6.812334093,908.9899999846774
Part_8,klikbar,bar,7.444733912,1710.8300002483456
Part_9,klikbar,bar,7.073854292,1180.6899996159966
Part_19,klikbar,bar,6.709645745,820.2799996820853
Part_22,klikbar,bar,6.931354611,1023.879999761987
Part_7,klikbar,bar,6.784875527,884.3699999068111
Part_5,klikbar,bar,6.851280161,945.0899999488504
Part_12,klikbar,bar,7.098846602,1210.5699999391695
Part_6,klikbar,bar,6.806818298,903.989999652786
Part_20,klikbar,bar,6.685548788,800.7499996082191
Part_17,kongelig,lig,6.671273163,789.3999998194276
Part_4,kongelig,lig,6.723062914,831.3599999649331
Part_11,kongelig,lig,6.789050569,888.0700002538366
Part_10,kongelig,lig,6.751814665,855.6100001330608
Part_20,kongelig,lig,6.55484467,702.6400002748289
Part_14,kongelig,lig,6.443940459,628.8799996946783
Part_9,kongelig,lig,6.664727847,784.2499999444849
Part_6,kongelig,lig,6.485199962,655.3700002335204
Part_19,kongelig,lig,6.51174533,673.0000002390983
Part_5,kongelig,lig,6.533381778,687.7199997581656
Part_22,kongelig,lig,6.724673433,832.6999997986754
Part_18,kongelig,lig,6.613102299,744.7899996652013
Part_15,kongelig,lig,6.552251078,700.8199999805574
Part_21,kongelig,lig,6.743576149,848.5900003532015
Part_16,kongelig,lig,6.555314217,702.9700002482242
Part_3,kongelig,lig,6.841722308,936.0999996464355
Part_7,kongelig,lig,6.806253974,903.4800003161896
Part_1,kongelig,lig,6.746412129,851.0000003630589
Part_2,kongelig,lig,6.586916205,725.5399998589013
Part_8,kongelig,lig,6.658537223,779.409999840497
Part_13,kongelig,lig,6.799902772,897.7599999976105
Part_13,kostbar,bar,6.62915187,756.8399996491594
Part_4,kostbar,bar,6.775982339,876.5399996735081
Part_17,kostbar,bar,6.751873101,855.6600000199109
Part_9,kostbar,bar,6.887787238,980.2299999942468
Part_22,kostbar,bar,6.749603271,853.7199998502853
Part_2,kostbar,bar,6.616546997,747.3600001840019
Part_3,kostbar,bar,6.782192056,881.9999999940104
Part_16,kostbar,bar,6.493057682,660.5399997949902
Part_12,kostbar,bar,6.60791965,740.9399997349022
Part_11,kostbar,bar,6.547100999,697.2199997157508
Part_21,kostbar,bar,6.655517567,777.0599996397935
Part_15,kostbar,bar,6.688354714,803.0000000427503
Part_14,kostbar,bar,6.767596258,869.2200001898246
Part_5,kostbar,bar,6.478140911,650.7600002336424
Part_8,kostbar,bar,6.809579999,906.4900002769728
Part_20,kostbar,bar,6.47450779,648.4000000897895
Part_10,kostbar,bar,6.617068698,747.7500003663544
Part_19,kostbar,bar,6.704328567,815.9300000239094
Part_18,kostbar,bar,6.668393419,787.1299999842947
Part_1,kostbar,bar,6.54867745,698.3199997017512
Part_6,kostbar,bar,6.507456801,670.1200001170488
Part_21,lignede,ede,6.818530545,914.6399997862352
Part_22,lignede,ede,6.749708687,853.8100003414522
Part_20,lignede,ede,6.636641852,762.530000022955
Part_17,lignede,ede,6.950795611,1043.9799998215192
Part_1,lignede,ede,6.860485459,953.830000472801
Part_19,lignede,ede,6.780205958,880.2499999690485
Part_16,lignede,ede,7.39272141,1624.120000621409
Part_3,lignede,ede,6.815914075,912.2499997112212
Part_4,lignede,ede,6.858502008,951.940000385432
Part_7,lignede,ede,6.706446602,817.659999774779
Part_6,lignede,ede,6.70264809,814.5599998745369
Part_15,lignede,ede,6.89852279,990.8099995853156
Part_12,lignede,ede,6.685786038,800.9400000835411
Part_18,lignede,ede,6.923077295,1015.439999918844
Part_14,lignede,ede,6.69952497,812.0199996750106
Part_2,lignede,ede,7.028228027,1128.029999493487
Part_10,lignede,ede,6.829599124,924.8200000167888
Part_8,lignede,ede,6.912573652,1004.8300000440814
Part_13,lignede,ede,6.955945263,1049.369999916537
Part_11,lignede,ede,7.064929953,1170.1999995855904
Part_9,lignede,ede,6.738685528,844.4500001149044
Part_6,livlig,lig,6.5572186,704.309999897504
Part_14,livlig,lig,6.552564947,701.0400001769456
Part_11,livlig,lig,6.859509966,952.8999996625377
Part_8,livlig,lig,6.6577799539999996,778.8200002317294
Part_21,livlig,lig,6.751604266,855.4299995812746
Part_4,livlig,lig,6.736516085,842.619999731804
Part_18,livlig,lig,6.81604561,912.3700004069054
Part_16,livlig,lig,6.624091788,753.0200000962825
Part_17,livlig,lig,6.665467134,784.8300001410802
Part_1,livlig,lig,6.91858641,1010.890000064904
Part_13,livlig,lig,6.657972534,778.969999830372
Part_5,livlig,lig,6.872221361,965.0899997694876
Part_3,livlig,lig,6.649735563,772.5799997832934
Part_15,livlig,lig,6.666422298,785.5799996325707
Part_12,livlig,lig,6.679360464,795.8100000913379
Part_20,livlig,lig,6.592934939,729.9199999299108
Part_22,livlig,lig,6.837954939,932.580000258454
Part_2,livlig,lig,6.629534969,757.1299998420297
Part_7,livlig,lig,6.574029268,716.2499999792652
Part_9,livlig,lig,6.584197293,723.5699997888195
Part_10,livlig,lig,6.64167813,766.3799997833132
Part_19,livlig,lig,6.688989631,803.5100002805555
Part_16,lovende,ende,6.953521829,1046.8299999843814
Part_13,lovende,ende,6.802650286,900.2299997919504
Part_11,lovende,ende,6.825405746,920.9500000321306
Part_10,lovende,ende,6.726557091,834.2700000224181
Part_17,lovende,ende,6.781080327,881.0199998642339
Part_2,lovende,ende,6.621245852,750.879999965379
Part_21,lovende,ende,6.96230975,1056.0700000548627
Part_15,lovende,ende,6.826751276,922.1899999271232
Part_1,lovende,ende,7.308703535,1493.2400003169932
Part_9,lovende,ende,6.93579837,1028.439999993027
Part_12,lovende,ende,6.704720681,816.2500003341397
Part_14,lovende,ende,6.740377506,845.8800003605269
Part_8,lovende,ende,7.228446505,1378.0799999436867
Part_22,lovende,ende,6.726581064,834.2900002168602
Part_4,lovende,ende,6.765822983,867.679999919522
Part_19,lovende,ende,6.77388097,874.6999996275442
Part_20,lovende,ende,6.975619514,1070.2200002158986
Part_6,lovende,ende,6.988228663,1083.7999998569237
Part_5,lovende,ende,6.767343125,868.9999997693743
Part_7,lovende,ende,6.66952347,788.0199998057889
Part_18,lovende,ende,6.996827864,1093.1600004848592
Part_3,lovende,ende,6.930035227,1022.5299996524908
Part_1,lyttede,ede,6.621272487,750.8999999205258
Part_2,lyttede,ede,6.552265347,700.830000052482
Part_8,lyttede,ede,6.941209397,1034.0199997507168
Part_17,lyttede,ede,6.903596644,995.8500001660304
Part_13,lyttede,ede,6.476387577,649.6200002917689
Part_19,lyttede,ede,6.59875423,734.1799998841542
Part_16,lyttede,ede,6.540726923,692.7900000250008
Part_4,lyttede,ede,6.675608823,792.8300001070893
Part_20,lyttede,ede,6.350606446,572.8400002231199
Part_18,lyttede,ede,6.485596605,655.6299997166012
Part_15,lyttede,ede,6.640842687,765.7400003559001
Part_14,lyttede,ede,6.595001522,731.4299999258818
Part_5,lyttede,ede,6.484039638,654.6099997020663
Part_7,lyttede,ede,6.486678947,656.3399997638786
Part_3,lyttede,ede,7.077244857,1184.700000046543
Part_9,lyttede,ede,6.52451633,681.6500002507527
Part_11,lyttede,ede,6.755314803,858.610000352349
Part_21,lyttede,ede,6.730146599,837.269999902302
Part_10,lyttede,ede,6.944183636,1037.1000004193113
Part_22,lyttede,ede,7.131370719,1250.590000075804
Part_12,lyttede,ede,6.767515723,869.1500003758644
Part_6,lyttede,ede,6.58414201,723.5299997741918
Part_15,lF8ftede,ede,6.666205874,785.4099996634308
Part_11,lF8ftede,ede,6.768929898,870.3800000900799
Part_16,lF8ftede,ede,6.485306766,655.4400001090919
Part_21,lF8ftede,ede,6.908075228,1000.3200002070096
Part_19,lF8ftede,ede,6.549793794,699.1000003370086
Part_17,lF8ftede,ede,6.687943671,802.6700003404131
Part_5,lF8ftede,ede,6.596831874,732.7700002511399
Part_4,lF8ftede,ede,6.908914607,1001.160000298362
Part_1,lF8ftede,ede,6.640816568,765.7200002540231
Part_9,lF8ftede,ede,6.640019614,765.1099997404013
Part_13,lF8ftede,ede,6.605893143,739.4400000321494
Part_14,lF8ftede,ede,7.434989542,1694.2400005385243
Part_18,lF8ftede,ede,6.677612289,794.4200002798881
Part_20,lF8ftede,ede,6.813609421,910.14999991635
Part_3,lF8ftede,ede,6.715007558,824.6899998809513
Part_22,lF8ftede,ede,7.3995204,1635.1999999846532
Part_8,lF8ftede,ede,7.117886536,1233.839999487514
Part_10,lF8ftede,ede,6.797326385,895.4499998094943
Part_12,lF8ftede,ede,6.712007999,822.2199998769245
Part_7,lF8ftede,ede,6.665862046,785.1400001334255
Part_2,lF8ftede,ede,6.652953348,775.0700001122659
Part_6,lF8ftede,ede,6.673651887,791.2799996584953
Part_16,manglede,ede,6.656713671,777.9900002914758
Part_17,manglede,ede,6.803161136,900.689999772835
Part_19,manglede,ede,6.776472784,876.969999770728
Part_15,manglede,ede,6.757827337,860.7699995704036
Part_12,manglede,ede,6.964371879,1058.2499995756066
Part_22,manglede,ede,6.802339206,899.949999797072
Part_13,manglede,ede,6.495069162,661.8699999797263
Part_3,manglede,ede,6.835421117,930.2199997103436
Part_10,manglede,ede,6.685761067,800.9200000605101
